id,label,comment
http://schema.org/3DModel,Modèle 3D,"Un modèle 3D représente un contenu 3D, pouvant comporter des <a class=""localLink"" href=""http://schema.org/encoding"">encodages</a> dans un ou plusieurs <a class=""localLink"" href=""http://schema.org/MediaObject"">MediaObject</a>. De nombreux formats 3D sont disponibles (voir par exemple <a href=""https://en.wikipedia.org/wiki/Category:3D_graphics_file_formats"">Wikipedia</a>) ; des formats d'encodage spécifiques peuvent être représentés grâce à la propriété <a class=""localLink"" href=""http://schema.org/encodingFormat"">encodingFormat</a> appliquée au <a class=""localLink"" href=""http://schema.org/MediaObject"">MediaObject</a> concerné. Dans le cas d'un fichier unique publié après compression ZIP, la convention consistant à ajouter « +zip » au <a class=""localLink"" href=""http://schema.org/encodingFormat"">format d'encodage</a> peut être utilisée. Les contenus géospatiaux, AR/VR, artistiques/animation, de jeu, d'ingénierie et scientifiques peuvent tous être représentés avec <a class=""localLink"" href=""http://schema.org/3DModel"">3DModel</a>."
http://schema.org/AMRadioChannel,AMRadioChannel,Une chaîne radio qui utilise AM.
http://schema.org/APIReference,Référence API,Documentation de référence pour les interfaces de programmation d'applications (API).
http://schema.org/Abdomen,Abdomen,Examen clinique de l'abdomen.
http://schema.org/AboutPage,À propos de la page,Type de page Web : page À propos.
http://schema.org/AcceptAction,AccepterAction,"L'acte de s'engager envers/d'adopter un objet.<br/><br/><br/><br/>Actions associées :<br/><br/><br/><br/><ul><li><a class=""localLink"" href=""http://schema.org/RejectAction"">RejectAction</a> : L'antonyme de AcceptAction.</li></ul>"
http://schema.org/Accommodation,Hébergement,"Un hébergement est un lieu pouvant accueillir des personnes, par exemple une chambre d'hôtel, un emplacement de camping ou une salle de réunion. De nombreux hébergements sont destinés à la nuitée, mais ce n'est pas obligatoire. Pour des types d'hébergement plus spécifiques non définis dans schema.org, vous pouvez utiliser additionalType avec des vocabulaires externes.<br /><br />Consultez également le <a href=""/docs/hotels.html"">document dédié à l'utilisation de schema.org pour le balisage des hôtels et autres types d'hébergement</a>."
http://schema.org/AccountingService,Service de comptabilité,"Entreprise de comptabilité.<br/><br/><br/><br/>En tant qu'<a class=""localLink"" href=""http://schema.org/LocalBusiness"">LocalBusiness</a>, elle peut être décrite comme un <a class=""localLink"" href=""http://schema.org/provider"">fournisseur</a> d'un ou plusieurs <a class=""localLink"" href=""http://schema.org/Service"">Service</a>(s)."
http://schema.org/AchieveAction,AchieveAction,L'acte d'accomplir quelque chose grâce à des efforts antérieurs. Il s'agit d'une action instantanée plutôt que d'un processus continu.
http://schema.org/Action,Action,"Action effectuée par un agent direct et des participants indirects sur un objet direct. Elle peut éventuellement se produire à un endroit précis à l'aide d'un instrument inanimé. L'exécution de l'action peut produire un résultat. La documentation spécifique à chaque sous-type d'action précise l'attente exacte de chaque argument/rôle.<br/><br/><br/><br/>Voir également <a href=""https://blog.schema.org/2014/04/16/announcing-schema-org-actions/"">article de blog</a> et <a href=""http://schema.org/docs/actions.html"">document de présentation des actions</a>."
http://schema.org/ActionAccessSpecification,Spécification d'accès à l'action,Un ensemble d’exigences qui doivent être remplies pour effectuer une action.
http://schema.org/ActionStatusType,Type d'état d'action,Le statut d'une action.
http://schema.org/ActivateAction,ActivateAction,"L'acte de démarrer ou d'activer un appareil ou une application (par exemple, démarrer une minuterie ou allumer une lampe de poche)."
http://schema.org/ActiveActionStatus,Statut d'action active,"Une action en cours (par exemple, pendant que vous regardez un film ou que vous conduisez vers un endroit)."
http://schema.org/ActiveNotRecruiting,ActiveNotRecruiting,"Actif, mais ne recrute pas de nouveaux participants."
http://schema.org/AddAction,AjouterAction,L'acte d'éditer en ajoutant un objet à une collection.
http://schema.org/AdministrativeArea,Zone administrative,"Une région géographique, généralement sous la juridiction d’un gouvernement particulier."
http://schema.org/AdultEntertainment,Divertissement pour adultes,Un établissement de divertissement pour adultes.
http://schema.org/AdvertiserContentArticle,Contenu de l'annonceurArticle,"Un <a class=""localLink"" href=""http://schema.org/Article"">article</a> qu'une entité externe a financé pour publier ou produire selon ses spécifications. Cela comprend les <a href=""https://en.wikipedia.org/wiki/Advertorial"">publireportages</a>, le contenu sponsorisé, la publicité native et tout autre contenu payant."
http://schema.org/AerobicActivity,Activité aérobique,"Activité physique d’intensité relativement faible qui dépend principalement du processus de production d’énergie aérobie ; pendant l’activité, le métabolisme aérobie utilise l’oxygène pour répondre adéquatement aux demandes énergétiques pendant l’exercice."
http://schema.org/AggregateOffer,Offre globale,"Lorsqu'un seul produit est associé à plusieurs offres (par exemple, la même paire de chaussures est proposée par différents marchands), AggregateOffer peut être utilisé.<br/><br/><br/><br/>Remarque : les AggregateOffers sont normalement censés associer plusieurs offres qui partagent toutes la même valeur <a class=""localLink"" href=""http://schema.org/businessFunction"">businessFunction</a> définie, ou la valeur par défaut http://purl.org/goodrelations/v1#Sell si businessFunction n'est pas explicitement définie."
http://schema.org/AggregateRating,Évaluation globale,La note moyenne basée sur plusieurs notes ou avis.
http://schema.org/AgreeAction,AccepterAction,"L'acte d'exprimer une opinion cohérente avec l'objet. Un agent s'accorde sur un objet (une proposition, un sujet ou un thème) avec les participants."
http://schema.org/Airline,Compagnie aérienne,Une organisation qui fournit des vols aux passagers.
http://schema.org/Airport,Aéroport,Un aéroport.
http://schema.org/AlbumRelease,Sortie de l'album,Sortie de l'album.
http://schema.org/AlignmentObject,Objet d'alignement,"Un élément intangible qui décrit un alignement entre une ressource d'apprentissage et un nœud dans un cadre éducatif.<br/><br/><br/><br/>Ne doit pas être utilisé lorsque la nature de l'alignement peut être décrite à l'aide d'une propriété simple, par exemple pour exprimer qu'une ressource <a class=""localLink"" href=""http://schema.org/teaches"">enseigne</a> ou <a class=""localLink"" href=""http://schema.org/assesses"">évalue</a> une compétence."
http://schema.org/AllWheelDriveConfiguration,Configuration de la transmission intégrale,La transmission intégrale est une configuration de transmission dans laquelle le moteur entraîne les quatre roues.
http://schema.org/AllocateAction,Action d'allocation,L'acte d'organiser des tâches/objets/événements en leur associant des ressources.
http://schema.org/AmusementPark,Parc d'attractions,Un parc d'attractions.
http://schema.org/AnaerobicActivity,Activité anaérobie,Activité physique de haute intensité qui utilise le métabolisme anaérobie du corps.
http://schema.org/AnalysisNewsArticle,AnalyseActualitésArticle,"Un AnalysisNewsArticle est un <a class=""localLink"" href=""http://schema.org/NewsArticle"">article d'actualité</a> qui, tout en étant basé sur des reportages factuels, intègre l'expertise de l'auteur/producteur, offrant des interprétations et des conclusions."
http://schema.org/AnatomicalStructure,Structure anatomique,"Toute partie du corps humain, généralement un composant d'un système anatomique. Les organes, les tissus et les cellules sont tous des structures anatomiques."
http://schema.org/AnatomicalSystem,Système anatomique,"Un système anatomique est un ensemble de structures anatomiques qui fonctionnent ensemble pour accomplir une tâche donnée. Les systèmes anatomiques, tels que les systèmes organiques, constituent un principe organisateur de l'anatomie et peuvent inclure les systèmes circulatoire, digestif, endocrinien, tégumentaire, immunitaire, lymphatique, musculaire, nerveux, reproducteur, respiratoire, squelettique, urinaire, vestibulaire, etc."
http://schema.org/Anesthesia,Anesthésie,Branche spécifique de la science médicale qui se rapporte à l’étude des anesthésiques et de leur application.
http://schema.org/AnimalShelter,Refuge pour animaux,Refuge pour animaux.
http://schema.org/Answer,Répondre,"Une réponse offerte à une question ; peut-être correcte, peut-être opiniâtre ou erronée."
http://schema.org/Apartment,Appartement,"Un appartement (en anglais américain) ou flat (en anglais britannique) est une unité d'habitation autonome (un type de bien immobilier résidentiel) qui n'occupe qu'une partie d'un bâtiment (Source : Wikipédia, l'encyclopédie libre, voir <a href=""http://en.wikipedia.org/wiki/Apartment"">http://en.wikipedia.org/wiki/Apartment</a>)."
http://schema.org/ApartmentComplex,Complexe d'appartements,Type de résidence : Complexe d'appartements.
http://schema.org/Appearance,Apparence,Évaluation de l'apparence avec examen clinique.
http://schema.org/AppendAction,AppendAction,L'acte d'insérer à la fin d'une collection ordonnée.
http://schema.org/ApplyAction,AppliquerAction,"L'acte de s'inscrire auprès d'une organisation ou d'un service sans garantie de le recevoir.<br/><br/><br/><br/>Actions connexes :<br/><br/><br/><br/><ul><li><a class=""localLink"" href=""http://schema.org/RegisterAction"">RegisterAction</a> : Contrairement à RegisterAction, ApplyAction n'offre aucune garantie que la demande sera acceptée.</li></ul>"
